--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr2,bbr,9,8,12703763,13002711,1428389,1412495,14463074,18960095,96,103,98,112,20386811,22391990,33952.31235806165,2232
bbr2,bbr,9,10,13088892,12725670,1513777,1348814,13561017,18526705,116,105,81,114,20897048,21907221,28756.373558943207,2233
bbr2,bbr2,9,10,11821473,12604439,1449439,1264959,13404805,17846013,113,102,108,111,20636826,21749221,27418.688790040298,2234
bbr2,bbr,9,10,12806429,12849786,1420007,1328296,14084565,19084238,86,109,82,110,21169439,22012220,28867.931216161014,2235
bbr2,bbr,9,9,12961809,12445505,974310,1254460,13738241,18583516,98,101,81,109,20720883,23089871,33954.23634208073,2236
bbr2,bbr,9,10,11994979,13193323,1496070,1292534,14259602,18736861,90,104,80,108,20984634,22312702,28169.98689995779,2237
bbr2,bbr,9,8,12540272,12737203,1434969,1303869,13899219,17996132,114,103,80,109,21204353,22821544,33485.47870225631,2238
bbr2,bbr,9,10,13247924,13032629,1536572,1246999,14490240,18297419,99,101,81,110,20905508,22489501,30066.94320419129,2239
bbr2,bbr,9,10,10991057,12574611,1464551,1377562,14214610,19019732,106,102,82,111,20299783,22203243,30153.893049866067,2240
bbr2,bbr,9,10,13089741,12869312,1410202,1314858,12564825,18856481,116,104,80,108,21209296,21803323,29776.49722720256,2241
bbr2,bbr,9,10,12780587,12440246,1443468,1241437,14493881,18555340,115,102,81,110,20687388,22278265,28796.639674348306,2242
reno,bbr,9,10,11404708,12649926,786604,1337767,14014868,18337102,114,103,82,111,21141482,22022303,28031.591733485267,2243
bbr2,bbr,9,9,11243158,13122943,1478291,1277258,13598950,18795223,116,105,80,108,21046496,22535736,25087.485816788496,2244
bbr2,bbr,9,10,11642171,12734144,1421020,1350236,13393923,18217884,112,101,82,109,20561673,22096438,28568.18644669259,2245
