-o cc_algo (Client),-o cc_algo (Server),-o cfcw (Client),-o cfcw (Server),-o init_max_data (Client),-o init_max_data (Server),-o init_max_streams_bidi (Client),-o init_max_streams_bidi (Server),-o init_max_streams_uni (Client),-o init_max_streams_uni (Server),-o max_cfcw (Client),-o max_cfcw (Server),-o max_sfcw (Client),-o max_sfcw (Server),-o sfcw (Client),-o sfcw (Server),Goodput (kbps),Test Number
2,1,94015,110801,15274440,13560793,112,89,117,85,20132659,20132659,108650,56459,91921,79301,46239.11629496521,185
2,1,105455,113822,15303296,11286738,111,87,117,86,20132659,20132659,109938,103210,54036,79743,46071.077665439916,186
2,2,94464,107868,15549800,13870887,113,89,116,85,20132659,20132659,108011,47729,61815,82704,45024.735509585844,187
2,1,85219,42827,15442833,14200530,109,88,118,83,20132659,20132659,105161,100732,92042,86936,45520.545165067844,188
3,1,89726,38628,15229547,10633556,106,90,116,111,20132659,20132659,65795,58434,85978,74006,46220.36501964829,189
3,1,89990,37442,15198467,10789735,103,89,115,112,20132659,20132659,66680,56719,86853,73196,46049.50457003266,190
3,1,100580,30379,15297016,10605086,106,88,116,112,20132659,20132659,63600,52870,82197,76841,45630.50995524857,191
3,1,93165,26680,15001373,10247399,105,90,117,111,20132659,20132659,106532,47505,85140,78474,45257.959223311445,192
3,1,91287,41112,15707178,10676774,108,90,118,114,20132659,20132659,61233,59364,88586,74324,45265.40776654499,193
3,1,88225,111301,15505815,13287551,104,101,117,111,20132659,20132659,112715,53024,94292,70605,45991.83961700369,194
2,1,93376,38278,15087789,11060403,107,92,113,87,20132659,20132659,58916,42383,71605,51261,45381.432289567514,195
3,1,86595,101940,10421761,13690166,110,91,114,109,20132659,20132659,103536,54479,77414,56527,45909.6070985075,196
2,1,109793,49552,14828648,12039905,106,89,100,89,20132659,20132659,68164,106581,50215,75576,46017.59930397117,197
2,1,98229,109133,12514460,10374263,112,90,118,113,20132659,20132659,73359,44589,80348,68238,46195.624399742715,198
1,1,89006,45487,15372805,13072813,111,86,94,85,20132659,20132659,87308,73122,91794,82246,46138.48131356438,199
2,3,95173,105664,15610287,10491400,108,91,116,87,20132659,20132659,56637,95496,68380,49745,44592.36137394906,200
3,1,27545,115023,10235557,13937388,114,88,119,107,20132659,20132659,51716,55178,88546,71789,45953.317048880206,201
2,1,97502,110954,14316169,13516639,112,91,120,110,20132659,20132659,101028,97172,90420,39607,45418.657333812684,202
2,1,102452,118318,14517906,13593487,113,92,119,91,20132659,20132659,99668,67167,84528,43828,45307.38519504312,203
2,1,91068,109817,14051191,13394778,112,90,119,86,20132659,20132659,96628,99845,97979,45855,45437.7726921879,204
2,1,96354,107294,14188848,13788351,110,93,91,90,20132659,20132659,109546,60155,87884,52601,46018.179923089156,205
2,1,105489,61994,13361690,14119777,103,81,99,88,20132659,20132659,102467,51312,85976,47458,46136.730381485926,206
2,1,92970,112904,10109158,13695125,109,91,95,114,20132659,20132659,65665,101443,95708,36542,46208.27138616419,207
2,1,100954,104271,14149401,13585420,111,89,120,94,20132659,20132659,79376,103873,34217,55650,45651.120760448575,208
2,1,94618,33960,14393612,14013393,115,87,118,84,20132659,20132659,105096,93930,58178,43025,45916.115563603,209
3,1,99198,57360,12765852,13248954,113,85,117,89,20132659,20132659,22620,64287,92446,41418,45559.80513026618,210
2,1,90763,111315,12358762,13836363,106,92,118,91,20132659,20132659,115849,82935,60845,66305,46023.557657226156,211
3,1,84205,108008,14654537,13820329,110,95,120,85,20132659,20132659,76704,125948,122257,51472,45545.012889368605,212
3,1,86578,106187,14305616,13463566,112,93,119,87,20132659,20132659,99214,78817,90050,49107,46218.68426243346,213
3,1,87654,105510,14064643,13436230,112,93,119,87,20132659,20132659,98477,78770,90273,47350,45583.64628610957,214
3,1,80877,109079,14258678,13677232,111,91,118,112,20132659,20132659,99917,81638,87712,49639,45470.57933927169,215
3,1,88924,53316,14339571,12914354,112,94,119,86,20132659,20132659,92408,84403,93877,54214,46210.15503077424,216
2,1,103585,102734,13927853,13528184,113,90,120,92,20132659,20132659,107971,75483,91366,39184,46206.8969316063,217
3,1,85904,76765,15207802,13339299,104,89,117,88,20132659,20132659,102825,80362,82961,32670,46059.56781378964,218
2,1,93580,39319,14484947,14312612,114,92,96,88,20132659,20132659,95368,99238,86352,45928,46159.55366924796,219
2,2,96481,113201,10735174,14085093,109,102,116,86,20132659,20132659,105295,86635,65900,78190,44289.82495488446,220
2,1,107680,110355,14247956,13137548,111,90,119,89,20132659,20132659,96767,77814,63757,52431,45988.511380618904,221
3,1,83220,106145,14490642,13949709,110,93,120,85,20132659,20132659,100205,102713,91005,50366,46137.87227863759,222
3,1,89805,107748,14378068,13630215,105,94,119,83,20132659,20132659,102226,125254,88925,49337,46238.81044564192,223
3,1,91522,107554,14390915,13583829,105,94,118,82,20132659,20132659,102512,127267,16392,48006,45927.72984100565,224
3,1,89738,115708,10493915,13447945,105,91,119,93,20132659,20132659,106604,124345,84757,44684,45416.12458751905,225
3,1,92628,35574,10334813,13718359,107,92,104,90,20132659,20132659,111399,129670,89172,49964,46082.08696951485,226
3,1,88510,111824,14120957,15577290,104,93,118,80,20132659,20132659,104109,97848,88972,53263,46178.58609524166,227
2,1,86311,103963,15798169,13602844,106,89,117,83,20132659,20132659,61529,105172,74422,57151,46206.820575417194,228
3,1,95098,108745,15459568,13784724,112,101,92,98,20132659,20132659,19791,50103,93491,41521,46074.82276924328,229
2,1,90895,59595,14706125,13884122,113,94,98,81,20132659,20132659,101923,96216,86800,76335,46107.59307556799,230
1,1,97690,105869,14192522,13336394,108,95,119,87,20132659,20132659,108618,99974,81517,48731,46037.8033634577,231
3,1,85128,110432,14559266,13507010,110,90,120,84,20132659,20132659,70653,130843,90159,51808,46096.318276733706,232
3,1,88947,107419,14320885,13990738,111,92,119,85,20132659,20132659,98533,45169,96933,53794,45506.3708641461,233
3,1,92596,65298,14456798,13680762,109,91,120,86,20132659,20132659,100337,126405,116118,72824,46206.54060488284,234
3,1,87519,96608,14283870,13863150,102,93,120,88,20132659,20132659,93526,127940,92514,50773,46293.8008440225,235
